店舗管理番号,請求月,請求書番号,取引先名称,取引先部署
D001,3月,19112,松原興産 株式会社,【請求管理番号：D001】
A439,5月,19133,株式会社スポーツレジャーシステムズ,【店舗管理番号：A439】
A407,4月・5月,19294,株式会社エム・カンパニー,【店舗管理番号：A407ダーツ】
A092,5月,19305,KC BAR,【店舗管理番号：A092】
A039,5月,19340,心選組,【店舗管理番号：A039】
A559,5月,19344,Bar 血と骨,【店舗管理番号：A559】
A059,5月,19345,Chou　Chou,【店舗管理番号：A059】
A453,5月,19350,ダーツ＆シーシャBar PJ　あべのキューズ店,【店舗管理番号：A453】
B196,5月,19353,felice2000,【店舗管理番号：B196】
A308,5月,19395,BAR　T'S,【店舗管理番号：A308】
A501,5月,19426,AMANE,【店舗管理番号：A501】
D009,3月・4月・5月,19427,株式会社さわやか倶楽部,【請求管理番号：D009】
A600,5月,19455,T-BAR,【店舗管理番号：A600】
B190,3月,19456,Bar PLAY,【店舗管理番号：B190】
A591,5月,19457,AligN（アライン）,【店舗管理番号：A591】
A519,5月,19458,Alc%N（アルコロン）,【店舗管理番号：A519】
B052,3月,19459,BAR Chuto,【店舗管理番号：B052】
A637,5月,19460,株式会社　藤田産業,【店舗管理番号：A637】
A082,5月,19461,BAR LOL,【店舗管理番号：A082】
B156,,19462,酒蔵　駒忠,【店舗管理番号：B156】
A539,5月,19463,カラオケBARルチル,【店舗管理番号：A539】
A037,5月,19466,RELAX　BAR　467,【店舗管理番号：A037】
A627,5月,19467,シェイキンヒップBAR,【店舗管理番号：A627】
A618,5月,19474,シーシャバーアイビス 川西店,【店舗管理番号：A618】
A604,5月,19475,麻雀コンカフェ one pai,【店舗管理番号：A604】
A433,5月,19477,株式会社慈烏,【店舗管理番号：A433】
A578,5月,19496,スナック　Rui,【店舗管理番号：A578】
A579,5月,19505,apipelli,【店舗管理番号：A579】
A634,3月・4月・5月,19506,Next Bar XYZ,【店舗管理番号：A634】
A470,5月,19507,有限会社　木崎製作所　　木崎,【店舗管理番号：A470】
A482,5月,19508,ビリヤード&ダーツ インパクト,【店舗管理番号：A482】
B144,3月・5月,19509,株式会社SGA,【店舗管理番号：B144】
A640,4月・5月,19513,INA DARTS STAND MATO,【店舗管理番号：A640】
A342,4月,19549,株式会社NOROSHI,【店舗管理番号：A342】
A614,5月,19550,DARTS BAR bond,【店舗管理番号：A614】
A367,5月,19551,Bar RIVAI,【店舗管理番号：A367】
A493,5月,19552,BAR ACE,【店舗管理番号：A493】
A366,5月,19553,D-Break,【店舗管理番号：A366】
A558,5月,19556,G&B,【店舗管理番号：A558】
A602,5月,19557,ビリヤードMATSUYA別館,【店舗管理番号：A602】
A003,5月,19558,MATSUYA+,【店舗管理番号：A003】
A292,5月,19559,ガールズバー　LENS,【店舗管理番号：A292】
B028,5月,19560,R&K,【店舗管理番号：B028】
A581,5月,19561,ネットジョーズ,【店舗管理番号：A581】
A117,5月,19562,株式会社ニュー・オータニ　ゴールデンスパ,【店舗管理番号：A117】
A395,3月,19563,BAR Lit,【店舗管理番号：A395】
A562,5月,19565,Cafe & Pool Bar Contact,【店舗管理番号：A562】
A486,5月,19566,King On Bunny 栄店,【店舗管理番号：A486】
A025,3月・5月,19567・19568,ﾀﾞｰﾂｶﾌｪ ｶﾞｰﾃﾞﾝ京都,【店舗管理番号：A025】
A288,5月,19572,Sports　CLUB　Bar　SpoSpo,【店舗管理番号：A288】
A531,5月,19581,株式会社サプラミュー,【店舗管理番号：A531】
A058,5月,19582,N2,【店舗管理番号：A058】
A123,5月,19583,株式会社　ホテルイケダ,【店舗管理番号：A123】
A102,5月,19584,amusement　bar　WKKS,【店舗管理番号：A102】
A210,3月,19585,bar　AZUL,【店舗管理番号：A210】
A480,5月,19586,ドットベースゴルフ　秋元　陽子,【店舗管理番号：A480】
A120,5月,19587,Billiard＆Darts　SUN,【店舗管理番号：A120】
A572,5月,19588,伊那美装株式会社,【店舗管理番号：A572】
A520,5月,19589,Bar Blue,【店舗管理番号：A520】
D007,5月,19590,株式会社CoCo,【請求管理番号：D007】
A201,3月・4月・5月,19591,Zerokara株式会社,【店舗管理番号：A201】
D003,5月,19592,株式会社 ウィズワン,【請求管理番号：D003】
A633,5月,19593,G.D.Region,【店舗管理番号：A633】
A468,5月,19594,King On Bunny,【店舗管理番号：A468】
A458,5月,19595,Queen on Bunny,【店舗管理番号：A458】
A024,5月,19596,クアトロ NO.4,【店舗管理番号：A024】
A054,5月,19597,gran D line,【店舗管理番号：A054】
A008,5月,19598,hangover梅田お初天神,【店舗管理番号：A008】
A630,5月,19599,株式会社Pioneer.Co,【店舗管理番号：A630】
A408,5月,19600,CHILLAX,【店舗管理番号：A408】
A589,5月,19601,成雄建設株式会社,【店舗管理番号：A589】
A116,5月,19602,株式会社ササキ,【店舗管理番号：A116】
A181,5月,19603,Chill　Time,【店舗管理番号：A181】
D008,5月,19604,株式会社GEST,【請求管理番号：D008】
A505,5月,19605,株式会社アクティオ　戸塚営業所,【店舗管理番号：A505】
A551,5月,19606,株式会社アクティオ　戸塚営業所,【店舗管理番号：A551】
B039,4月・5月,19607,ガールズバーLiz,【店舗管理番号：B039】
A038,5月,19609,ﾋﾞﾘﾔｰﾄﾞ&ﾀﾞｰﾂｾｸｼｮﾝｴｲﾄ,【店舗管理番号：A038】
B172,,19616,DICE-second,【店舗管理番号：B172】
A085,2月・3月・5月,19617・19848,UDON DINING BAR BRILLIA,【店舗管理番号：A085】
A464,5月,19618,GOLF Studio RISE　長島　優,【店舗管理番号：A464】
A503,5月,19619,bar 慶,【店舗管理番号：A503】
A563,5月,19620,BAR L,【店舗管理番号：A563】
A007,6月,19621,E☆star,【店舗管理番号：A007】
A042,5月,19622,PLUS ALPHA,【店舗管理番号：A042】
A070,5月,19623,G2,【店舗管理番号：A070】
A076,5月,19624,Bar Salon Blink,【店舗管理番号：A076】
A089,5月,19625,Shot bar Mozic,【店舗管理番号：A089】
D005,5月,19626,株式会社 LUMIC,【請求管理番号：D005】
A172,5月,19627,BAR　BOOM,【店舗管理番号：A172】
A187,5月,19628,ケセラセラ,【店舗管理番号：A187】
A196,5月,19629,Darts Bar Dee,【店舗管理番号：A196】
A209,5月,19630,obanzai＆bar　nerine,【店舗管理番号：A209】
A215,5月,19631,Esordio,【店舗管理番号：A215】
A216,5月,19632,DARTS&POOL Pick UP,【店舗管理番号：A216】
A234,5月,19633,Sound Bar 大将場,【店舗管理番号：A234】
A248,5月,19634,PUBLIC　BAR　LIT,【店舗管理番号：A248】
A251,5月,19635,株式会社　ASP,【店舗管理番号：A251】
A264,5月,19636,BAR.8982,【店舗管理番号：A264】
A280,5月,19637,株式会社　ブロス,【店舗管理番号：A280】
A312,5月,19638,Amitie...,【店舗管理番号：A312】
A317,5月,19639,BAR LIBERTA,【店舗管理番号：A317】
A321,5月,19640,ベロベロＢＡＲ,【店舗管理番号：A321】
A327,5月,19641,Joint　bar,【店舗管理番号：A327】
A328,5月,19642,株式会社スポーツレジャーシステムズ,【店舗管理番号：A328】
A392,5月,19643,Mol:tal,【店舗管理番号：A392】
A400,5月,19644,投げ場STRAD,【店舗管理番号：A400】
A410,5月,19645,株式会社　アセンドホーム,【店舗管理番号：A410ダーツ】
A416,5月,19646,BAR IX nine（バーナイン）,【店舗管理番号：A416】
A437,5月,19647,立花　尚賢,【店舗管理番号：A437】
A443,5月,19648,片倉　尚也,【店舗管理番号：A443】
A457,5月,19649,Dining &Bar Thread,【店舗管理番号：A457】
A641,4月・5月,19650,BAR DAWN,【店舗管理番号：A641】
A463,5月,19651,カラオケ&ダーツバー 笑楽　江藤 義幸,【店舗管理番号：A463】
A331,5月,19652,UP END,【店舗管理番号：A331】
A472,5月,19653,Bar Shakes,【店舗管理番号：A472】
A473,5月,19654,Music Dining Bar 　LAND,【店舗管理番号：A473】
A495,5月,19655,武田 圭,【店舗管理番号：A495】
A512,5月,19656,BAR G@ME,【店舗管理番号：A512】
A525,5月,19657,BAR Laughter,【店舗管理番号：A525】
A536,5月,19658,うますぎ倶楽部,【店舗管理番号：A536】
A561,5月,19659,大むらそば店保木間３,【店舗管理番号：A561】
A565,5月,19660,BAR Liberdade,【店舗管理番号：A565】
A567,3月,19661,株式会社SUI,【店舗管理番号：A567】
A603,5月,19662,カラオケBAR JYS-ジス-,【店舗管理番号：A603】
A611,5月,19663,ONE×2 わんわん,【店舗管理番号：A611】
B011,5月,19664,DARTS BAR　2face,【店舗管理番号：B011】
B020,5月,19665,株式会社グローバル・エンタテインメント,【店舗管理番号：B020】
B055,5月,19666,スナック クラウン feat.セカンドステージ,【店舗管理番号：B055】
B097,3月,19667,ガールズラウンジ River,【店舗管理番号：B097】
B142,5月,19668,立の呑み　Oki,【店舗管理番号：B142】
B160,5月,19669,ORCA　NAGOYA,【店舗管理番号：B160】
B171,3月,19670,Bar_SANGO,【店舗管理番号：B171】
A338,5月,19672,ゴルフファクトリーヤマダ,【店舗管理番号：A338】
G002,5月,19673,ダーツカフェガーデン心斎橋,【店舗管理番号：G002ゴルフ】
A514,5月,19675,スイングラボ,【店舗管理番号：A514】
G001,5月,19676,ゴルフスクールＤｕｃｋ　右島　義一,【店舗管理番号：G001】
A631,5月,19678,Under　bar,【店舗管理番号：A631】
A073,5月,19679,BUZZ　JACK　CAF,【店舗管理番号：A073】
A027,5月,19686,Bar Ocean,【店舗管理番号：A027】
A045,5月,19687,株式会社ダブルオー,【店舗管理番号：A045】
A571,5月,19691,BAR star Light,【店舗管理番号：A571】
B021,3月・5月,19701,古賀　大介,【店舗管理番号：B021】
A010,5月,19702,ﾀﾞｰﾂｶﾌｪﾊﾞｰ Innocent,【店舗管理番号：A010】
A401,5月,19703,irodori,【店舗管理番号：A401】
A339,5月,19704,じゃぱにーず　Kawaii,【店舗管理番号：A339】
A624,5月,19705,BAR GOD,【店舗管理番号：A624】
A060,5月,19706,Cafe&Bar L'arbre,【店舗管理番号：A060】
A055,5月,19707,18 Premier bar,【店舗管理番号：A055】
A319,5月,19708,Monstera　Cafe,【店舗管理番号：A319】
B009,3月,19709,GRound,【店舗管理番号：B009】
B102,3月,19710,SHOTGUN,【店舗管理番号：B102】
A577,5月,19711,Dart&BAR Cheval　(Rebel),【店舗管理番号：A577】
A583,5月,19714,S.F.G 　サンフラワーガーデン,【店舗管理番号：A583】
A297,5月,19715,BAR　Jammy,【店舗管理番号：A297】
A001,4月,19716,CLOUD,【店舗管理番号：A001】
A002,3月・4月,19718・19719,ﾀﾞｰﾂｶﾌｪ ｶﾞｰﾃﾞﾝ生駒,【店舗管理番号：A002】
A004,5月,19720,"2nd Faceｶﾗｵｹ＆mini
LIVBAR",【店舗管理番号：A004】
A005,5月,19721,Balance Diner,【店舗管理番号：A005】
A009,5月,19722,Pool&darts IL,【店舗管理番号：A009】
B165,4月,19725,創作和食　静かの海で,【店舗管理番号：B165】
A254,3月・4月・5月,19734,ダーツカフェガーデン心斎橋,【店舗管理番号：A254ダーツ】
A607,3月,19735,エクセル株式会社,【店舗管理番号：A607】
D004,,19736,株式会社 ビーバーレコード,【請求管理番号：D004】
B199,5月,19737,合同会社Rizcompany,【店舗管理番号：B199】
A374,5月,19738,ふるはうす株式会社,【店舗管理番号：A374】
A337,5月,19739,ホテルレモンツリー富里,【店舗管理番号：A337】
A489,3月,19740,夢想都市 めたばにあ,【店舗管理番号：A489】
A249,5月,19741,BAR ICECREAM,【店舗管理番号：A249】
A421,5月,19743,326,【店舗管理番号：A421】
A375,5月,19744,crow,【店舗管理番号：A375】
A615,5月,19745,chill smoke 梅田,【店舗管理番号：A615】
B111,5月,19746,GROW,【店舗管理番号：B111】
A029,5月,19747,MIYABI,【店舗管理番号：A029】
A032,2月・3月・4月,19748,Ace club,【店舗管理番号：A032】
A018,5月,19749,Bar Pirata,【店舗管理番号：A018】
A052,5月,19752,絆,【店舗管理番号：A052】
A442,5月,19753,真心商店　念,【店舗管理番号：A442】
A509,3月・4月,19755,福ちゃんⅡ,【店舗管理番号：A509】
A555,5月,19757,Escorall,【店舗管理番号：A555】
A287,5月,19771,LINKS　BAR,【店舗管理番号：A287】
B112,5月,19772,串焼酒場　楽渡,【店舗管理番号：B112】
A383,5月,19774,SHOTBAR SoaR,【店舗管理番号：A383】
A205,5月,19775,Thancoeur &　Sammystone,【店舗管理番号：A205】
B012,5月,19776,Darts Bar Wish,【店舗管理番号：B012】
A069,5月,19771,Living　Bar　Dayz,【店舗管理番号：A069】
A582,5月,19778,有限会社エーワン,【店舗管理番号：A582】
A573,5月,19785,Darts&Shot bar D-Bull,【店舗管理番号：A573】
A227,5月,19795,DARTS BAR COZY,【店舗管理番号：A227】
A499,5月,19798,YOI,【店舗管理番号：A499】
A570,5月,19801,old kids,【店舗管理番号：A570】
A636,5月,19802,有限会社ホンダ　本田 新一,【店舗管理番号：A636】
A057,5月,19805,Bar　RISE,【店舗管理番号：A057】
A350,5月,19806,BACK ALLEY KYOTO,【店舗管理番号：A350】
A492,5月,19810,BAR134.,【店舗管理番号：A492】
A612,5月,19814,BAR2nd,【店舗管理番号：A612】
A590,5月,19815,VERO VERO BAR,【店舗管理番号：A590】
A628,2月・3月・5月,19818・19819,DARTS BAR WACKO,【店舗管理番号：A628】
A067,5月,19831,Bosco,【店舗管理番号：A067】
A185,5月,19833,DiningBar SOUTH GATE,【店舗管理番号：A185】
B027,4月,19836,Bar 1st Stage,【店舗管理番号：B027】
A626,5月,19837,PO RON,【店舗管理番号：A626】
A649,5月,19838,girls bar Dolce＆honey,【店舗管理番号：A649】
B117,5月,19839,Music＆Bar　Jammin’,【店舗管理番号：B117】
A619,3月,19843,株式会社E.estate,【店舗管理番号：A619】
B073,5月,19849,BAR　Mozaic,【店舗管理番号：B073】
A420,5月,19851,noche.dining　ＳＯＬ,【店舗管理番号：A420】
A389,5月,19853,BAR CHANCE,【店舗管理番号：A389】
B026,3月,19865,BAR　Fred,【店舗管理番号：B026】
B178,5月,19866,Bar　BiN5,【店舗管理番号：B178】
A629,5月,19870,Darts＆Bar 脱,【店舗管理番号：A629】
A157,5月,19872,DOPE,【店舗管理番号：A157】
A190,5月,19881,Bar　F2,【店舗管理番号：A190】
A545,5月,19882,BAR 7,【店舗管理番号：A545】
A452,5月,19883,どくだみ屋,【店舗管理番号：A452】
A387,5月,19884,BAR BESS＋,【店舗管理番号：A387】
A412,5月,19885,Darts&Karaoke bar HERO,【店舗管理番号：A412】
A569,5月,19896,株式会社SiX G Studio　　　　　　　　代表取締役　菅原 龍,【店舗管理番号：A569】
A402,5月,19904,アミーゴ,【店舗管理番号：A402】
A340,5月,19906,ハーレークイーン　サード,【店舗管理番号：A340】
A371,5月,19872,Cafe&Bar MGRRY千葉店　　秋田丈徳,【店舗管理番号：A371】
A431,5月,19874,BASE太田駅,【店舗管理番号：A431】
A450,4月,19876,Little Kiki（リトルキキ）,【店舗管理番号：A450】
A485,5月,19878,山城　龍介,【店舗管理番号：A485】
A511,5月,19881,DOT,【店舗管理番号：A511】
A530,5月,19886,Angel,【店舗管理番号：A530】
A541,5月,19888,BAR Again,【店舗管理番号：A541】
A613,5月,19890,BAR ROAD,【店舗管理番号：A613】
B047,3月,19896,ｏｆｆｉｃｅ　Ｚｅｎ,【店舗管理番号：B047】
A623,5月,19901,株式会社J4-forniter,【店舗管理番号：A623】
A635,3月・4月・5月,19903,SHOTBAR MAO -NARA-,【店舗管理番号：A635】
A632,5月,19904,ブロケード　福田錦哲,【店舗管理番号：A632】
D002,4月,19930,株式会社 FROGSWORKS,【請求管理番号：D002】
A643,4月・5月,19934,BAR LAND,【店舗管理番号：A643】
A644,4月・5月,19935,株式会社TSG,【店舗管理番号：A644】
A645,4月・5月,19936,株式会社ジーエムコーポレーション,【店舗管理番号：A645】
A646,4月・5月,19937,Lui　離れ,【店舗管理番号：A646】
A647,4月・5月・6月,19938,夜喫茶 Re:login,【店舗管理番号：A647】
